sentence	obj-1	obj-2	aspect	t5_few
How can you make the work output of a machine GREATER than the work INPUT ?	work output	work INPUT	-	'brains female', 'brains Objects: 'work output', 'work input' Aspect: GREATER What are the objects and the aspect of comparison in the sentence 'How can you make the work output of a machine GREATER than the work INPUTS?', '' Objects: 'work input', 'work better than  
do you get more wet walking or running in the rain ?	walking rain	running rain	wet	'brains female', 'brains Objects: 'walking', 'running' Aspect: wet walking What are the objects and the aspect of comparison in the sentence 'Do you get more wet walking or running in the rain?' Objects: 'walking', 'running' Aspect: rain What are the objects and the aspect of comparison in the sentence 'Why do we
Who agrees that working hard and making money is somehow better than working less and be happier ?	working hard and making money	working less and be happier	better	'brains female', 'brains Objects: 'work hard and make money', 'work less' Aspect: happier  Objects: 'work hard','make money' Aspect:Objects: 'work hard','make money' Aspect: happier Objects: 'work hard', 'work less',' and and
how do you do an irish whip in Smackdown Vs . Raw 2007 ?	Smackdown	Raw 2007	irish whip	'brains female', 'brains Objects: 'irish whip', 'irish whip' Aspect: irish whip What are the objects and the aspect of comparison in the sentence 'What is the difference between literal and symbolic dreams?' Objects: 'literal dreams','symbolic dreams' Aspect: difference between literal and symbolic dreams?'?
What are gear ratios ? What is the use of roof scoops ? What is the difference between torque and horsepower ?	torque	horsepower	-	', 'brains female' Aspect: different from Objects: 'gear ratios', 'torque' Aspect: horsepower What are the objects and the aspect of comparison in the sentence 'What is the difference between' Aspect: torque and horsepower What are the objects and the aspect of comparison in the sentence''''?? '' better than
what is the difference between between PowerBook n iBook ?	PowerBook	iBook	-	' Objects: 'PowerBook n iBook', 'iBook' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between between PowerBook n iBook?'? Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between between
What is the difference between the fish circulatory system and the mammal circulatory system ?	fish circulatory system	mammal circulatory system	-	'brains female', 'brains Objects: 'fish circulatory system','mammal circulatory system' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between the fish and the mammal circulatory system?'?', 'fish circulatory system'?
What is the difference between stucco and masonry ?	stucco	masonry	-	'brains female', 'brains Objects:'stucco','masonry' Aspect: stucco What are the objects and the aspect of comparison in the sentence 'What is the difference between stucco and masonry?'? Objects:'stucco','masonry' Aspect: difference
Does anyone think that the imigration thing for the hispanics be compared to the armenian genocide ? ? ?	imigration thing for the hispanics	armenian genocide	-	'brains female' Aspect: different from Objects: 'yes', 'no' Aspect: armenian genocide?', '', 'yes'Objects: 'hispanic genocide', 'armenian genocide' Aspect: armenian genocide
what is bigger size bitmap or jpeg ?	bitmap	jpeg	size	'brains female', 'brains Objects: 'bitmap', 'jpeg' Aspect: bigger size What are the objects and the aspect of comparison in the sentence 'What is bigger size bitmap or jpeg?'?' Objects: 'bitmap', 'jpeg' Aspect: bigger size What are the objects and the aspect of comparison in the sentence
what is the difference between sickle cell anemia and thalassemia ?	sickle cell anemia	thalassemia	-	' Objects:'sickle cell anemia', 'thalassemia' Aspect: sickle cell Aspect: thalassemia What are the objects and the aspect of comparison in the sentence 'What is the difference between sickle cell anemia and thalassemia?'? Objects:'sickle cell', 'thalassemia' Aspect: difference Between sickle
Does ortho tri cyclen lo lower sex drive compared to no pill at all ?	ortho tri cyclen	no pill at all	sex drive	'Objects: 'ortho tri cyclen lo', 'no pill at all' Aspect: lower sex drivecompared to no pill at all?', '' Objects: 'ortho tri cyclen lo', 'no pill at all' Aspect: lower sex drive','?'?? '?
who can enter carling cup ? which is superior FA Cup or Carling Cup ?	FA Cup	Carling Cup	superior	'brains female', 'brains Objects: 'FA Cup', 'Carling Cup' Aspect: superior Objects: 'FA Cup', 'Carling Cup' Aspect: superior FA Cup Objects: 'FA Cup', 'Carling Cup' Aspect: superior FA, and the aspect of????
what ' s the difference between intel pentium 4 and intel xeon ? which one is better ?	intel pentium 4	intel xeon	better	'brains female', 'brains Objects: 'intel pentium 4', 'intel xeon' Aspect: better'' Aspect: better What are the objects and the aspect of comparison in the sentence 'What is the difference between' Aspect: better'''?  '' betterspeed than '
Who is better and more handsome ? Lampard or Cristiano Ronaldo ?	Lampard	Cristiano Ronaldo	better more handsome	'brains female', 'brains Objects: 'Lambert', 'Cristiano Ronaldo' Aspect: better and more handsome : Objects: 'Lambert', 'Cristiano Ronaldo' Aspect: better and more handsome: Objects: 'Lambert', 'Cristiano Ronaldo' Aspect: better and
who looks best 50cent or lloyd banks ?	50cent	lloyd banks	looks best	'brains female', 'brains Objects: '50cent', 'lloyd banks' Aspect: 50cent What are the objects and the aspect of comparison in the sentence 'Who looks best, 50cent or lloyd banks?' Objects: '50cent', 'lloyd banks' Aspect: banks vs 50cent : 
What is the difference between a blackout and a brownout ?	blackout	brownout	-	'brains female', 'brains Objects: 'blackout', 'brownout' Aspect: blackout What are the objects and the aspect of comparison in the sentence 'What is the difference between a blackout and a brownout?'? Objects: 'blackout', 'brownout' Aspect: blackout What are the objects and the aspect of comparison in
What is the difference between a wink and a blink ?	wink	blink	-	'brains female', 'brains Objects: 'a wink', 'blink' Aspect: blink What are the objects and the aspect of comparison in the sentence 'What is the difference between a wink and a blink?'? Objects: 'wink', 'blink' Aspect: blinks What are the objects and the aspect of comparison in the sentence 
do you prefer fried eggs or scramble ? ? ? ? ?	fried eggs	scramble	prefer	', 'brains female' Aspect: different from Objects: 'fried eggs','scramble' Aspect: eggs??????????????????????   ','' 
What is the difference between an Isolated Thunderstorm and a Scattered Thunderstorm ?	Isolated Thunderstorm	Scattered Thunderstorm	-	'brains female', 'brains Objects: 'Isolated Thunderstorm', 'Scattered Thunderstorm' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between an Isolated Thunderstorm and a Scattered Thunderstorm?', 'Isolated,,'' better than
who has more booty beyonce or j-lo ?	beyonce	j-lo	booty	'brains female', 'brains Objects: 'beyonce', 'j-lo' Aspect: booty What are the objects and the aspect of comparison in the sentence 'Who has more booty?' Objects: 'beyonce', 'j-lo' Aspect: booty j-lo What are the objects and the aspect of comparison in the
who lead in 2010,India or china ?	2010,India	china	lead	'brains female', 'brains Objects: 'India', 'china' Aspect: india Objects: 'India', 'china' Aspect: india Objects: 'India', 'China' Aspect: india What are the objects and the aspect of comparison in the sentence' and and and? '?
Does anyone have broadband cable ? Is it better than digital cable ? I want to change but I'm scared . ?	broadband cable	digital cable	better	'brains female', 'brains male' Aspect: Objects: 'Broadband cable', 'digital cable' Aspect: scared What are the objects and the aspect of comparison in the sentence 'Why do we have broadband cable?' Objects: 'Why do we have broadband cable?', 'Why',''
What will 7 mm magnum do to deer versus a 30 - 30 , both at same distance of 50 yards ?	7 mm magnum	30 - 30	do	'Objects:'magnum','magnum' Aspect: deer What are the objects and the aspect of comparison in the sentence 'What will a 7 mm magnum do to deer versus a 30 - 30'Objects:'magnum', '30' Aspect: deer What are the objects and the aspect of comparison''?'?
Who do you think is better looking , Pumba or Rafiki ? ?	Pumba	Rafiki	better looking	', 'brains female' Aspect: different from Objects: 'Pumba', 'Rafiki' Aspect: better looking? ', 'Pumba' Aspect: better looking? ', 'Pumba' Aspect: better looking What are the objects and the aspect of comparison in the sentence
what came first naruto or bleach ? i saw 1 ep of bleach and its almost the same bleach < ---skcus<--- anyways yapoo answers-stop deleting my Qs lol	naruto	bleach	first	naruto or bleach? Aspect: - What are the objects and the aspect of comparison in the sentence 'What is the best movie?' Objects: 'naruto', 'bleach' Aspect: bleach  ------------------------------------------------? A'A'' 
Do u think men are more dominating when compared to women ?	men	women	dominating	brains female', 'brains Objects: 'Do u think men are more dominating when compared to women?', 'Do u think Aspect: Aspect: dominating What are the objects and the aspect of comparison in the sentence 'Why do we have speed limits?' Objects:  and and and  ? 
Why is the little spanish spoke in the Philippines similar to the spanish spoken in Mexico ?	spanish Philippines	spanish Mexico	similar	'brains female', 'brains Objects: 'little spanish','spanish' Aspect: similar What are the objects and the aspect of comparison in the sentence 'Why is the spanish spoken in Mexico similar to the spanish spoken in the Philippines?', 'Why is it different?',   'A? A A
How come it 's harder to open bottles / jars with my right hand than my left hand ?	jars right hand	jars left hand	open bottles	', 'brains female' Aspect: different from Objects: 'right hand', 'left hand' Aspect: harder to open bottles / jars with my right hand?', 'harder to open bottles Objects: 'harder', 'harder' Aspect: harder than''   ''?,,
do scientists look for life on planets only similar to our own ? Couldn't there be life not based on carbon ?	planets	life not based on carbon	-	'brains female', 'brains male' Aspect: different from Objects: 'carbon', 'carbon' Aspect: carbon Objects: 'copper', 'carbon' Aspect: carbon Objects: 'carbon', 'carbon' Aspect: carbon What are the objects and the aspect of comparison' and and and?'
How does a revolving door conserve more energy than a regular door ?	revolving door	regular door	energy	'brains female', 'brains Objects:'revolving door','regular door' Aspect: energy Objects:'revolving door','regular door' Aspect: energy Objects:'revolving door', 'door' Aspect:comparing and and and? ?
"What is the difference between "" unmarked "" bills and "" marked "" bills ?"	""" unmarked "" bills"	"marked "" bills"	-	"','Objects: 'unmarked bills','marked bills' Aspect: marked What are the objects and the aspect of comparison in the sentence 'What is the difference between "" unmarked "" bills and "" marked "" bills?'?', 'unmarked bills'?','marked bills'? Aspect: difference Between better' '?  A"
Why do Microwave minutes last longer than normal minutes ?	Microwave minutes	normal minutes	last longer	'brains female', 'brains Objects:'microwave minutes', 'normal minutes' Aspect: microwave minutes What are the objects and the aspect of comparison in the sentence 'Why do microwave minutes last longer than normal minutes?'?' Objects:'microwave minutes', 'normal minutes' Aspect: normal? 'A better than
Why do women live longer than men on average ?	women	men	longer	'brains female', 'brains Objects: 'women','men' Aspect: women live longer than men on average What are the objects and the aspect of comparison in the sentence 'Why do women live longer than men?' Objects: 'Why do women live longer than men on average', 'average' Aspect: average What are the objects and the aspect of comparison in
Would a baby conceived and born in space be different to a baby conceived and born on earth ?	baby conceived and born in space	baby conceived and born on earth	-	'brains female', 'brains Objects: 'would', 'would' Aspect: different - 'would', 'would', 'would', 'would', 'would', 'would', 'would', 'would', 'would', 'would', 'would', 'would', 'would',
Why does American news footage look so old fashioned compared to the news in the UK ?	American news	news in the UK	look old fashioned	'brains female', 'brains Objects: 'old fashioned', 'old fashioned' Aspect: old fashioned What are the objects and the aspect of comparison in the sentence 'Why does American news footage look so old fashioned compared to the news in the UK?', 'Why does American news footage look so old fashioned
Why do some people think that watching TV and movies is better than playing video games ?	watching TV and movies	playing video games	better	'brains female', 'brains Objects: 'TV and movies', 'video games' Aspect: better What are the objects and the aspect of comparison in the sentence 'Why do some people think that watching TV and movies is better than playing video games?'? Objects: 'TV and movies', 'video games better   ? 
How does your brain tell the difference between a high or slightly lower frame rate of a video ?	high frame rate of a video	slightly lower frame rate of a video	difference	'brains female', 'brains Objects: 'high frame rate','slightly lower frame rate' Aspect: difference What are the objects and the aspect of comparison in the sentence 'How do you tell the difference between literal and symbolic dreams?'?', 'How do you tell the difference?', 'how better   ? 
Why do the centers of Lindor chocolate truffles feel colder than the outer shells ?	centers Lindor chocolate truffles	Lindor chocolate truffles outer shells	feel colder	'brains female', 'brains Objects: 'colder', 'colder' Aspect: colder What are the objects and the aspect of comparison in the sentence 'Why do the centers of Lindor chocolate truffles feel colder than the outer shells?', '', Aspect: colder, and the aspect of and and??
Why is Trump 's call to Taiwan worse than selling arms to Taiwan ?	Trump 's call to Taiwan	selling arms to Taiwan	worse	'brains female', 'brains Objects: 'Trump', 'Taiwan' Aspect: worse  Objects:'selling arms to Taiwan','selling arms to Objects:'selling arms','selling arms to Taiwan' Aspect: worse Selling armsObjects: and the aspect of???'
Why does hot water wash dishes better than cold water ?	hot water	cold water	wash dishes better	'brains female', 'brains Objects: 'hot water', 'cold water' Aspect: better What are the objects and the aspect of comparison in the sentence 'Why does hot water wash dishes better than cold water?'?' Objects: 'hot water', 'cold water' Aspect: better
Why are freezer lights much less common than fridge lights ?	freezer lights	fridge lights	common	'brains female', 'brains Objects: 'freezer lights', 'fridge lights' Aspect: common What are the objects and the aspect of comparison in the sentence 'Why are fridge lights much less common than freezer lights?'? Objects: 'freezer lights', 'fridge lights' Aspect: common,?  '' 
Why does being submerged in water feel significantly colder than walking around in the same air temperature ?	submerged in water	walking around in the same air temperature	feel colder	'brains female', 'brains Objects: 'water', 'air' Aspect: colder What are the objects and the aspect of comparison in the sentence 'Why does being submerged in water feel significantly colder than walking in the same air temperature?'? Objects: 'water', 'air' Aspect: colder
What is Ethereum and how is it different / related to btcoin ?	Ethereum	btcoin	different	'brains female', 'brains Objects: 'ethereum', 'btcoin' Aspect: different / related to btcoin What are the objects and the aspect of comparison in the sentence 'How is Ethereum different from btcoin?', 'How is it different from btcoin?'??
What is the difference between Colorado and Washington recreational cannabis laws ?	Colorado	Washington	cannabis laws	'brains female', 'brains Objects: 'Colorado', 'Washington' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What are the differences between Colorado and Washington recreational cannabis laws?'? What are the objects and the aspect of comparison in the sentence 'What is the difference between
How are magnets and electricity the same thing ?	magnets	electricity	same	'brains female', 'brains Objects:'magnets', 'electricity' Aspect: electricity What are the objects and the aspect of comparison in the sentence 'What is the difference between literal and symbolic dreams?'?' What are the objects and the aspect of comparison in the sentence 'Why do we have speed limits?'
Why do we get colds in the summer ? And is this any different to getting the sniffles in winter due to the cold weather ?	colds in the summer	sniffles in winter	-	'brains female', 'brains male' Aspect: different from Objects: 'Is this due to the hot weather?', 'Is this cold weather?' Aspect: different from Aspect: cold weather What are the objects and the aspect of comparison in the sentence 'Why do we get''''?? '' better
Why does moving air feel colder than stationary air , even if I'm not really sweating ?	moving air	stationary air	feel colder	'brains female', 'brains Objects:'moving air', 'cold' Aspect: colder than stationary air What are the objects and the aspect of comparison in the sentence 'Why does moving air feel colder than stationary air?' Objects:'moving air', 'cold' Aspect: cold
Why do people treat rape jokes as worse than murder jokes ?	rape jokes	murder jokes	treat	'brains female', 'brains Objects: 'rape jokes','murder joke' Aspect: worse What are the objects and the aspect of comparison in the sentence 'Why do people treat rape jokes as worse than murder jokes?'? 'Why do people treat rape jokes as''Aspect: better than and 
What is the difference between direct and alternating current and how would using each one in a light bulb change the way it works ?	direct current	alternating current	-	' Objects: 'direct current', 'alternating current' Aspect: different How would using each one change the way it works?'  Objects: 'direct current', 'alternating current' Aspect: different How would using each one change the way it works?'? Aspect: different How would using each one change the way it works? better than than ?
What is the difference between the alligator and the crocodile , and how did they evolve separately but so similarly ?	alligator	crocodile	evolve	'brains female', 'brains male' Aspect: different Aspect: different Aspect: different Aspect: different Aspect: different Aspect: different Aspect: different Aspect: different Aspect: different Aspect: different Aspect: different Aspect: different Aspect: different Aspect: different Aspect: different,, ,'''
is a group of people shouting louder than just one person ?	group of people shouting	shouting one person	louder	'brains female', 'brains Objects: 'yes', 'no' Aspect: louder What are the objects and the aspect of comparison in the sentence 'Why is a group of people shouting louder than just one person?' Objects: 'group', 'people' Aspect: louder
How alike are ISIS and the Left Wing Terror Groups of the 1970s	ISIS	Left Wing Terror Groups of the 1970s	alike	'brains female', 'brains male' Aspect: different from'Aspect: alike What are the objects and the aspect of comparison in the sentence 'What are the similarities between ISIS and the Left Wing Terror Groups of the 1970s?' Aspect: similar What are the objects and the aspect of comparison in the sentence''' '? 
What is book vs market value with respect to a mutual fund ?	book value	market value	mutual fund	brains female', 'brains Objects: 'book','market value' Aspect: book vs market value What are the objects and the aspect of comparison in the sentence 'What is book vs market value with respect to a mutual fund?'? Objects: 'book','market value' Aspect: book value
is a mutual fund ? How is it different from a company offering stocks ?	mutual fund	company offering stocks	-	'brains female', 'brains Objects:'mutual fund','stocks' Aspect: stocks What are the objects and the aspect of comparison in the sentence 'What is' Objects:'mutual fund','stocks' Aspect: stocks What are the objects and the aspect of comparison''??? '
Why does hitting a Hollow Object hurt more than hitting a Solid Object	hitting a Hollow Object	hitting a Solid Object	hurt	'' Objects: 'Hulled Object', 'Symbolic Object' Aspect: hurt More Objects: 'Hulled Object', 'Symbolic Object' Aspect: hurt More Objects: 'Hulled Object', 'Symbolic Object' Aspect:' and the aspect of and and 
are virtual particles and how are they different from regular ones ?	virtual particles	particles regular	-	brains female', 'brains Objects: 'virtual particles','real particles' Aspect: particles Objects: 'virtual particles','real particles' Aspect: particles What are the objects and the aspect of comparison in the sentence 'What are' Objects: 'physical particles','real particles' Aspect: physical particles' and
Why can we hold in a bigger volume of urine while we are sleeping compared to when we are awake ?	sleeping	awake	hold	'brains female','Objects: 'urine', 'urine' Aspect: urine 'when we are awake compared to when we are asleep?'? asleep compared to when we are awake?' Objects: 'when we are awake', 'when we are asleep' Aspect: and and?? '' better than
What is the difference between agnosticism and atheism ?	agnosticism	atheism	-	'brains female', 'brains Objects: 'agnosticism', 'atheism' Aspect: atheism What are the objects and the aspect of comparison in the sentence 'What is the difference between literal and symbolic dreams?'?'? Objects: 'literal dreams','symbolic dreams' Aspect: difference Between literal and symbolic
what is the difference between a presidential / executive order and a law and why presidents don't just fulfill their entire agendas / promises through executive orders ?	presidential / executive order	a law	-	'brains female', 'brains male' Aspect: different from Objects: 'law', 'law' Aspect: law What are the objects and the aspect of comparison in the sentence 'Why do we have executive orders?' Objects: 'laws', 'laws' Aspect: law What are the objects and the aspect of comparison in the sentence 'Why do we have
Why Quantum Computing is better than Classical .	Quantum Computing	Computing Classical	better	'brains female', 'brains Objects: 'quantum computing', 'classical' Aspect: better  Objects: 'quantum computing', 'classical' Aspect: better Aspect: better What are the objects and the aspect of comparison in the sentence 'Why do we have speed limits?? A???
Why does Canada have so many more lakes than the United States ( map link inside )	Canada lakes	lakes United States	-	'brains female', 'brains Objects: 'Canada', 'United States' Aspect: lakes What are the objects and the aspect of comparison in the sentence 'Why do we have so many lakes?' Objects: 'Canada', 'US' Aspect: lakes What are the objects and the aspect of comparison
What is the rational for making cloned meat vs vat-grown meat ? pros and cons ?	cloned meat	vat-grown meat	-	'brains female', 'brains Objects: 'cloned meat', 'vat-grown meat' Aspect: pros and consObjects: 'cloned meat', 'vat-grown meat' Aspect: Aspect: pros and cons What are the objects and the aspect of comparisonObject and and and? ?
How come laws in Sweden are so different from those in America ?	Sweden	America	laws	'brains female', 'brains Objects: 'laws in Sweden', 'laws in America' Aspect: laws in Sweden Different from those in America What are the objects and the aspect of comparison in the sentence 'Why do we have speed limits?' Objects: 'laws in Sweden', 'laws in America' Aspect: laws in Sweden Different from those in America 
What is the difference between a police officer and a sheriff ?	police officer	sheriff	-	'brains female', 'brains Objects: 'police officer','sheriff' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between a police officer and a sheriff?'? Objects: 'police officer','sheriff' Aspect: difference What are the objects and the aspect of comparison in
Why does it make sense for a country to ban guns but not also cars ( as cars can be just as deadly as guns ) ?	guns	cars	-	'brains female', 'brains male' Aspect: different from Objects: 'guns', 'cars' Aspect: guns vs cars?', 'cars' Aspect: guns vs cars What are the objects and the aspect of comparison in the sentence 'Why do we have speed limits?
Why is everything cheaper in the USA compared to the rest of the industrialized nations like Canada , Australia , UK , Germany etc .	USA	industrialized nations	cheaper	'brains female', 'brains male' Aspect: different from Objects: 'USA', 'USA' Aspect: cheaper Compared toObjects: 'USA', 'US' Aspect: cheaper Compared toObjects: 'USA', 'US' Aspect: cheaper Compared to''''?? '
What is the Asian Holocaust and why didn't we learn about it in school if it 's worse than the Jewish Holocaust ?	Asian Holocaust	Jewish	worse	'brains female', 'brains male' Aspect: different from Objects: 'Asian Holocaust', 'Jewish Holocaust' Aspect: worse'Objects: 'Asian Holocaust', 'Jewish Holocaust' Aspect: worse than Jewish Holocaust What are the objects and the aspect of comparison  and????
Can someone explain to me why a lot of the anime population likes subbed better than dubbed ?	subbed	dubbed	likes	'brains female', 'brains Objects:'subbed', 'dubbed' Aspect: subbed What are the objects and the aspect of comparison in the sentence 'Why do some people like dubbed better than subbed?' Objects:'subbed', 'dubbed' Aspect: better, better,   ''
Why does cold water tastes different than hot water ?	cold water	hot water	tastes	'brains female', 'brains Objects: 'cold water', 'hot water' Aspect: cold water Different Aspect: cold water What are the objects and the aspect of comparison in the sentence 'Why does cold water taste different than hot water?'? Objects: 'cold water', 'hot water' Aspect: taste Different What are the objects and the aspect of comparison
Why does chocolate that has been melted once melt faster than chocolate that hasn't been melted ?	has been melted once	hasn't been melted	melt faster	'brains female', 'brainsObjects: 'chocolate that has been melted once', 'chocolate' Aspect: melts faster What are the objects and the aspect of comparison in the sentence 'Why does chocolate that has been melted once melt faster than chocolate that hasn't been melted?'?'A better  '
is Formula1 different from a typical car race , why is it so popular ?	Formula1	typical	-	'brains female', 'brains Objects: 'F1', 'car race' Aspect: popular Why is Formula1 so popular?', 'Why is it so popular?', 'Why is it so popular?', 'Why is it so popular?', 'Why is it so popular?', 'Why is it so popular?', 
Why does tea lose heat quicker than coffee ?	tea	coffee	lose heat	'brains female', 'brains Objects: 'tea', 'coffee' Aspect: coffee Objects: 'coffee', 'tea' Aspect: coffee Objects: 'coffee', 'tea' Aspect:'&&&?  '' better
What is the difference between soap and shampoo ?	soap	shampoo	-	'brains female', 'brains Objects:'soap','shampoo' Aspect: soap and shampoo What are the objects and the aspect of comparison in the sentence 'What is the difference between soap and shampoo?'?'? Objects:'soap','shampoo' Aspect: soap and shampoo Difference: soap and shampoo Difference: soap and
How are the World Wars different than an Allied Peace Keeping Force invading Iraq ?	World Wars	Allied Peace Keeping Force invading Iraq	-	'brains female', 'brains Objects: 'World Wars', 'Allied Peace Keeping Force' Aspect: different : 'How are the World Wars different from an Allied Peace Keeping Force invading Iraq?'? Objects: 'World Wars', 'Allied Peace Keeping Force' Aspect: different: different from what? Objects: 'World Wars
Why is it faster to erase 4 GB of data from a USB drive than write the same 4 GB on it ?	erase 4 GB of data	4 GB of data write	faster	'brains female', 'brains male' Aspect: different Aspect: different Aspect: different Aspect: different Aspect: different Aspect: different Aspect: different Aspect: different Aspect: different Aspect: different Aspect: different Aspect: different Aspect: different Aspect: different Aspect: different What are the objects and the aspect of
Why is powder easier to disolve in hot water than cold ?	hot water	water cold	disolve	', 'brains female' Aspect: different from'Objects: 'hot water', 'cold water' Aspect: easier to dissolve in hot water than cold What are the objects and the aspect of comparison in the sentence 'Why is it easier to dissolve powder in hot water than cold?', 'Why?',   'A better than than
Why do British prime ministers resign so easily , compared to U.S. presidents ?	British prime ministers	U.S. presidents	resign	'brains female', 'brains Objects:'resign so easily, compared to U.S. presidents?','resign so easily' Aspect: easy resigning Compared to British prime ministers What are the objects and the aspect of comparison in the sentence 'Why do British prime ministers resign so easily, compared to U.S. presidents 
