sentence	obj-1	obj-2	aspect	t5_fewshot
Who agrees that working hard and making money is somehow better than working less and be happier ?	working hard and making money	working less and be happier	better	' Objects: 'work hard and make money', 'work less' Aspect: happier  Objects: 'work hard and make money', 'work less' Aspect:
how do you do an irish whip in Smackdown Vs . Raw 2007 ?	Smackdown	Raw 2007	irish whip	' Objects: 'irish whip','smackdown' Aspect: irish whip What are the objects and the aspect of comparison in the sentence 'What is an irish whip
What are gear ratios ? What is the use of roof scoops ? What is the difference between torque and horsepower ?	torque	horsepower	-	' Objects: 'gear ratios', 'power' Aspect: torque What are the objects and the aspect of comparison in the sentence 'What is the difference between torque and horsepower?'
what is the difference between between PowerBook n iBook ?	PowerBook	iBook	-	sometimes Objects: 'iBook', 'PowerBook' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between between PowerBook n iBook
What is the difference between the fish circulatory system and the mammal circulatory system ?	fish circulatory system	mammal circulatory system	-	' Objects: 'fish circulatory system','mammal circulatory system' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between the
What is the difference between stucco and masonry ?	stucco	masonry	-	' Objects:'stucco','masonry' Aspect: stucco What are the objects and the aspect of comparison in the sentence 'What is the difference between stucco and
Does anyone think that the imigration thing for the hispanics be compared to the armenian genocide ? ? ?	imigration thing for the hispanics	armenian genocide	-	' Objects: 'hispanic genocide', 'armenian genocide' Aspect: genocide  Objects: 'immigration', 'genoc
what is bigger size bitmap or jpeg ?	bitmap	jpeg	size	as Objects: 'bitmap', 'jpeg' Aspect: bigger size What are the objects and the aspect of comparison in the sentence 'is a family med graduate as efficient as 
what is the difference between sickle cell anemia and thalassemia ?	sickle cell anemia	thalassemia	-	'buying a Objects:'sickle cell anemia', 'thalassemia' Aspect: sickle cell anemia What are the objects and the aspect of comparison in the sentence
Does ortho tri cyclen lo lower sex drive compared to no pill at all ?	ortho tri cyclen	no pill at all	sex drive	aObjects: 'no pill at all', 'no pill at all' Aspect: lowerObjects: 'no pill at all', 'noObjects:
who can enter carling cup ? which is superior FA Cup or Carling Cup ?	FA Cup	Carling Cup	superior	' Objects: 'FA Cup', 'Carling Cup' Aspect: superior FA Cup vs Carling Cup Objects: 'FA Cup', 'Carling Cup'
what ' s the difference between intel pentium 4 and intel xeon ? which one is better ?	intel pentium 4	intel xeon	better	' Objects: 'intel pentium 4', 'intel xeon' Aspect: which one is better?'Objects: 'which one', '
Who is better and more handsome ? Lampard or Cristiano Ronaldo ?	Lampard	Cristiano Ronaldo	better more handsome	'buying aObjects: 'Lambert', 'Cristiano Ronaldo' Aspect: better and more handsome' Objects: 'Lambert', '
who looks best 50cent or lloyd banks ?	50cent	lloyd banks	looks best	as Objects: '50cent', 'lloyd banks' Aspect: 50cent What are the objects and the aspect of comparison in the sentence 'who looks best 50cent or llo
What is the difference between a blackout and a brownout ?	blackout	brownout	-	as Objects: 'blackout', 'brownout' Aspect: blackout What are the objects and the aspect of comparison in the sentence 'What is the difference between a blackout and 
What is the difference between a wink and a blink ?	wink	blink	-	' Objects: 'a blink', 'a blink' Aspect: blink What are the objects and the aspect of comparison in the sentence 'What is the difference between a wink and a
do you prefer fried eggs or scramble ? ? ? ? ?	fried eggs	scramble	prefer	'Objects: 'fried eggs','scramble' Aspect: fried eggs What are the objects and the aspect of comparison in the sentence 'Do you prefer fried eggs or scram
What is the difference between an Isolated Thunderstorm and a Scattered Thunderstorm ?	Isolated Thunderstorm	Scattered Thunderstorm	-	'buying a Objects: 'Isolated Thunderstorm', 'Scattered Thunderstorm' Aspect: Scattered What are the objects and the aspect of comparison in the sentence '
who has more booty beyonce or j-lo ?	beyonce	j-lo	booty	' Objects: 'beyonce', 'j-lo' Aspect: booty Objects: 'beyonce', 'j-lo' Aspect:
who lead in 2010,India or china ?	2010,India	china	lead	'buying a Objects: 'India', 'china' Aspect: lead What are the objects and the aspect of comparison in the sentence 'Who will lead in 2010,India or china 
Does anyone have broadband cable ? Is it better than digital cable ? I want to change but I'm scared . ?	broadband cable	digital cable	better	' Objects: 'broadband cable', 'broadband cable' Aspect: scared 'Objects: 'broadband cable', 'broadband cable' A
What will 7 mm magnum do to deer versus a 30 - 30 , both at same distance of 50 yards ?	7 mm magnum	30 - 30	do	a 30 - 30Objects:'magnum','magnum' Aspect: deer What are the objects and the aspect of comparison in the sentence 'What will a 7 mm mag
Who do you think is better looking , Pumba or Rafiki ? ?	Pumba	Rafiki	better looking	'Objects: 'Pumba', 'Rafiki' Aspect: better looking Who do you think is better looking, Pumba or Rafiki?  Objects:
what came first naruto or bleach ? i saw 1 ep of bleach and its almost the same bleach < ---skcus<--- anyways yapoo answers-stop deleting my Qs lol	naruto	bleach	first	naruto or bleach?                   
Do u think men are more dominating when compared to women ?	men	women	dominating	' Objects:'men', 'women' Aspect: dominating Objects:'men', 'women' Aspect:Objects: '
Why is the little spanish spoke in the Philippines similar to the spanish spoken in Mexico ?	spanish Philippines	spanish Mexico	similar	' Objects:'spanish', 'Spanish' Aspect: similar What are the objects and the aspect of comparison in the sentence 'Why is the spanish spoken in the Philippines similar to
How come it 's harder to open bottles / jars with my right hand than my left hand ?	jars right hand	jars left hand	open bottles	' Objects: 'bottles', 'jars' Aspect: harder to open What are the objects and the aspect of comparison in the sentence 'Is it easier to open bottles with my
do scientists look for life on planets only similar to our own ? Couldn't there be life not based on carbon ?	planets	life not based on carbon	-	' Objects: 'carbon', 'carbon' Aspect: carbon What are the objects and the aspect of comparison in the sentence 'Why do scientists look for life on planets only similar to our own
How does a revolving door conserve more energy than a regular door ?	revolving door	regular door	energy	' Objects:'revolving door','regular door' Aspect: energy conservation  Objects:'revolving door', 'door' Aspect:
"What is the difference between "" unmarked "" bills and "" marked "" bills ?"	""" unmarked "" bills"	"marked "" bills"	-	"sometimes Objects: 'unmarked "" bills','marked' Aspect: marked What are the objects and the aspect of comparison in the sentence 'What is the difference between "" unmarked "" bills and """
Why do Microwave minutes last longer than normal minutes ?	Microwave minutes	normal minutes	last longer	as much ( sometimes more than ) as purchasing aObjects:'microwave','microwave' Aspect: microwave Objects:'microwave', 'normal minutes' A
Why do women live longer than men on average ?	women	men	longer	' Objects: 'women', 'average' Aspect: women live longer than men What are the objects and the aspect of comparison in the sentence 'Why do women live longer than men on
Would a baby conceived and born in space be different to a baby conceived and born on earth ?	baby conceived and born in space	baby conceived and born on earth	-	' Objects: 'would', 'would' Aspect: different How are the objects and the aspect of comparison in the sentence 'Would a baby conceived and born in space be different
Why does American news footage look so old fashioned compared to the news in the UK ?	American news	news in the UK	look old fashioned	' Objects: 'old fashioned', 'news' Aspect: old fashioned What are the objects and the aspect of comparison in the sentence 'Why does American news footage look so old fashioned
Why do some people think that watching TV and movies is better than playing video games ?	watching TV and movies	playing video games	better	'buying a Objects: 'TV and movies', 'video games' Aspect: better What are the objects and the aspect of comparison in the sentence 'Why do some people think that watching
How does your brain tell the difference between a high or slightly lower frame rate of a video ?	high frame rate of a video	slightly lower frame rate of a video	difference	' Objects: 'high or slightly lower frame rate', 'video' Aspect: high or slightly lower frame rate What are the objects and the aspect of comparison in the sentence 'How does your brain
Why do the centers of Lindor chocolate truffles feel colder than the outer shells ?	centers Lindor chocolate truffles	Lindor chocolate truffles outer shells	feel colder	' Objects: 'cold', 'cold' Aspect: colder What are the objects and the aspect of comparison in the sentence 'Why do the centers of Lindor chocolate truffles feel
Why is Trump 's call to Taiwan worse than selling arms to Taiwan ?	Trump 's call to Taiwan	selling arms to Taiwan	worse	' Objects: 'China', 'Taiwan' Aspect: worse  Objects: 'China', 'Taiwan' Aspect: selling arms to Taiwan
Why does hot water wash dishes better than cold water ?	hot water	cold water	wash dishes better	' Objects: 'hot water', 'cold water' Aspect: better What are the objects and the aspect of comparison in the sentence 'Why does hot water wash dishes better than cold water 
Why are freezer lights much less common than fridge lights ?	freezer lights	fridge lights	common	' Objects: 'fridge lights', 'freezer' Aspect: common What are the objects and the aspect of comparison in the sentence 'Why are fridge lights much less common than freezer lights 
Why does being submerged in water feel significantly colder than walking around in the same air temperature ?	submerged in water	walking around in the same air temperature	feel colder	' Objects:'submerged in water', 'air temperature' Aspect: colder What are the objects and the aspect of comparison in the sentence 'Why does being submerged in water feel significantly
What is Ethereum and how is it different / related to btcoin ?	Ethereum	btcoin	different	' Objects: 'ethernet', 'btcoin' Aspect: different / related to btcoin What are the objects and the aspect of comparison in the sentence 
What is the difference between Colorado and Washington recreational cannabis laws ?	Colorado	Washington	cannabis laws	' Objects: 'Cannabis', 'weed' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What are the differences between Colorado and Washington recreational cannabis laws 
How are magnets and electricity the same thing ?	magnets	electricity	same	' Objects:'magnets', 'electricity' Aspect: electricity What are the objects and the aspect of comparison in the sentence 'What is the difference between magnets and electricity?
Why do we get colds in the summer ? And is this any different to getting the sniffles in winter due to the cold weather ?	colds in the summer	sniffles in winter	-	' Objects: 'cold weather','sneezing' Aspect: cold weather What are the objects and the aspect of comparison in the sentence 'Why do we get colds in
Why does moving air feel colder than stationary air , even if I'm not really sweating ?	moving air	stationary air	feel colder	' Objects:'moving air','sweating' Aspect: colder than stationary air  Objects:'moving air','sweating' A
Why do people treat rape jokes as worse than murder jokes ?	rape jokes	murder jokes	treat	' Objects: 'rape jokes','murder joke' Aspect: worse What are the objects and the aspect of comparison in the sentence 'Why do people treat rape jokes
What is the difference between direct and alternating current and how would using each one in a light bulb change the way it works ?	direct current	alternating current	-	' Objects: 'direct and alternating current', 'alternating current' Aspect: different How would using each one change the way it works?'  Objects: 'light bulb
What is the difference between the alligator and the crocodile , and how did they evolve separately but so similarly ?	alligator	crocodile	evolve	' Objects: 'alligator', 'crocodile' Aspect: evolution What are the objects and the aspect of comparison in the sentence 'What is the difference between the alligator
is a group of people shouting louder than just one person ?	group of people shouting	shouting one person	louder	sometimes Objects:'screaming louder', 'louder' Aspect: louder What are the objects and the aspect of comparison in the sentence 'Why is a group of people shout
How alike are ISIS and the Left Wing Terror Groups of the 1970s	ISIS	Left Wing Terror Groups of the 1970s	alike	sometimes more than' Aspect:'Objects: 'ISIS', 'left wing terrorist groups' Aspect: alike' Objects: 'ISIS', 'left
What is book vs market value with respect to a mutual fund ?	book value	market value	mutual fund	sometimes more than, purchasing a Objects: 'book','market value' Aspect: book vs market value What are the objects and the aspect of comparison in the sentence 'What is book
is a mutual fund ? How is it different from a company offering stocks ?	mutual fund	company offering stocks	-	' Objects:'mutual fund','stocks' Aspect: stocks What are the objects and the aspect of comparison in the sentence 'What is a mutual fund? How is it
Why does hitting a Hollow Object hurt more than hitting a Solid Object	hitting a Hollow Object	hitting a Solid Object	hurt	'' Objects: 'Hullow Object','solid Object' Aspect: hurt More' Objects: 'Hullow Object','solid Object
are virtual particles and how are they different from regular ones ?	virtual particles	particles regular	-	as Objects: 'virtual particles','real particles' Aspect: different from regular particles What are the objects and the aspect of comparison in the sentence 'What are virtual particles and how are they
Why can we hold in a bigger volume of urine while we are sleeping compared to when we are awake ?	sleeping	awake	hold	' Objects: 'urine', 'urine' Aspect: awake?' Objects: 'urine', 'urine' Aspect: awake?
What is the difference between agnosticism and atheism ?	agnosticism	atheism	-	' Objects: 'agnosticism', 'atheism' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between a
what is the difference between a presidential / executive order and a law and why presidents don't just fulfill their entire agendas / promises through executive orders ?	presidential / executive order	a law	-	' Objects: 'law', 'law' Aspect: law Why do presidents not just fulfill their entire agendas / promises through executive orders?' What are the objects and the aspect of
Why Quantum Computing is better than Classical .	Quantum Computing	Computing Classical	better	as Objects: 'quantum computing', 'classical' Aspect: better What are the objects and the aspect of comparison in the sentence 'Why Quantum Computing is better than Classical.'
Why does Canada have so many more lakes than the United States ( map link inside )	Canada lakes	lakes United States	-	' Objects: 'Canada', 'lakes' Aspect: lakes More lakes What are the objects and the aspect of comparison in the sentence 'Why do Canadians have so many more lakes than Americans
What is the rational for making cloned meat vs vat-grown meat ? pros and cons ?	cloned meat	vat-grown meat	-	' Objects: 'cloned meat', 'vat-grown meat' Aspect: pros and cons Objects: 'cloned meat', 'vat
How come laws in Sweden are so different from those in America ?	Sweden	America	laws	sometimes more than, as purchasing a Objects: 'laws in Sweden', 'laws in America' Aspect: laws in Sweden What are the objects and the aspect of comparison in the sentence '
What is the difference between a police officer and a sheriff ?	police officer	sheriff	-	as Objects: 'police officer','sheriff' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between a police officer and 
Why does it make sense for a country to ban guns but not also cars ( as cars can be just as deadly as guns ) ?	guns	cars	-	' Objects: 'guns', 'cars' Aspect: guns vs cars What are the objects and the aspect of comparison in the sentence 'Why do you think it makes sense for
Why is everything cheaper in the USA compared to the rest of the industrialized nations like Canada , Australia , UK , Germany etc .	USA	industrialized nations	cheaper	' Objects: 'USA', 'USA' Aspect: cheaper Objects: 'USA', 'US' Aspect: cheaper Compared toObjects: 'USA
What is the Asian Holocaust and why didn't we learn about it in school if it 's worse than the Jewish Holocaust ?	Asian Holocaust	Jewish	worse	' Objects: 'Asian Holocaust', 'Jewish Holocaust' Aspect: worse than  Objects: 'Asian Holocaust', 'Jewish Holocaust' Aspect
Can someone explain to me why a lot of the anime population likes subbed better than dubbed ?	subbed	dubbed	likes	' Objects:'subbed', 'dubbed' Aspect: subbed What are the objects and the aspect of comparison in the sentence 'Does a subbed anime fan
Why does cold water tastes different than hot water ?	cold water	hot water	tastes	' Objects: 'cold water', 'hot water' Aspect: cold water tastes different than hot water What are the objects and the aspect of comparison in the sentence 'Why does cold water taste
Why does chocolate that has been melted once melt faster than chocolate that hasn't been melted ?	has been melted once	hasn't been melted	melt faster	' Objects: 'chocolate', 'chocolate' Aspect: chocolate that has been melted once' Objects:'melt','melt' Aspect
is Formula1 different from a typical car race , why is it so popular ?	Formula1	typical	-	' Objects: 'f1', 'car race' Aspect: popular Why is Formula1 so popular?', 'why is it so popular?', 'why?
Why does tea lose heat quicker than coffee ?	tea	coffee	lose heat	a Objects: 'tea', 'coffee' Aspect: coffee What are the objects and the aspect of comparison in the sentence 'Why does tea lose heat quicker than coffee?
What is the difference between soap and shampoo ?	soap	shampoo	-	as Objects:'soap','shampoo' Aspect: soap What are the objects and the aspect of comparison in the sentence 'What is the difference between soap and shampoo?
How are the World Wars different than an Allied Peace Keeping Force invading Iraq ?	World Wars	Allied Peace Keeping Force invading Iraq	-	'buying a Objects: 'World Wars', 'Altaic' Aspect: different  Objects: 'World Wars', 'Allied Peace Keeping Force
Why is it faster to erase 4 GB of data from a USB drive than write the same 4 GB on it ?	erase 4 GB of data	4 GB of data write	faster	' Objects: 'USB drive', 'USB drive' Aspect: faster  Objects: 'USB drive', 'USB drive' Aspect: faster
Why is powder easier to disolve in hot water than cold ?	hot water	water cold	disolve	' Objects: 'hot water', 'cold water' Aspect: easier to dissolve What are the objects and the aspect of comparison in the sentence 'Why is a Objects:
Why do British prime ministers resign so easily , compared to U.S. presidents ?	British prime ministers	U.S. presidents	resign	' Objects:'resign','resign' Aspect: easy  Objects:'resign','resign' Aspect: easy compared to 
Why does a cup with smaller surface area make more noise when set down than a cup with a bigger surface area ?	cup smaller surface	cup bigger surface	noise	' Objects: 'cup with smaller surface area', 'cup' Aspect: noise When set down What are the objects and the aspect of comparison in the sentence 'Why does a cup with smaller
Why do scientists need research and sources for claims but we dont require the same of politicians ?	scientists	politicians	research and sources	' Objects: 'politicians','research' Aspect: sources What are the objects and the aspect of comparison in the sentence 'Why do scientists need research and sources for claims but we
"Why does the "" I "" in "" HIV "" stand for immunodeficiency but the "" ID "" in "" AIDS "" strand for "" Immune Deficiency "" ? What 's the difference between immune and immuno ?"	immune	immuno	difference	"'I "" in "" AIDS "" stand for "" Immune Deficiency ""? What's the difference between immune and immuno?'? What are the objects and the aspect of comparison in the sentence "
What is the difference between a duck hook and a snap hook in golf ?	duck hook	snap hook	difference	' Objects: 'duck hook','snap hook' Aspect: duck hook What are the objects and the aspect of comparison in the sentence 'What is the difference between a
Does brain activity in animals take up less relative energy than the human brain ?	brain activity animals	brain activity human	energy	' Objects: 'animals', 'human' Aspect: energy  Objects: 'animals', 'human' Aspect: energy Objects: '
Are nautical miles different to regular miles ? If so , why are two different kinds of miles used for navigation ?	nautical miles	regular miles	-	' Objects: 'navigational miles', 'navigational miles' Aspect: nautical miles?'Objects: 'navigational miles',
Is it harder or easier for animals with 4 legs to walk compared to animals with 2 legs ?	animals with 4 legs	animals with 2 legs	walk	' Objects: 'is it harder or easier for animals with 4 legs to walk compared to animals with 2 legs?', 'is it harder or easier for animals with 4 legs to walk' A
"Why is a teflon pan more "" non stick "" than a ceramic pan ?"	teflon pan	ceramic pan	non stick	' Objects: 'teflon', 'ceramic' Aspect: non stick Objects: 'non stick', 'ceramic' Aspect:
Why do I look so much better in a window reflection than in a mirror ?	window reflection	mirror	look	' Objects: 'window reflection','mirror' Aspect: better What are the objects and the aspect of comparison in the sentence 'Why do I look so much better in a
What is the difference between Quicksaving and actual Saving in video games ?	Quicksaving video games	actual Saving video games	-	sometimes Objects: 'Quicksaving','saving' Aspect: Saving What are the objects and the aspect of comparison in the sentence 'What is the difference between Quicksaving and actual Saving in video games
Why does water feel cooler than air of the same temperature ?	water same temperature	air same temperature	feel cooler	' Objects: 'water', 'air' Aspect: water feels cooler What are the objects and the aspect of comparison in the sentence 'Why does water feel cooler than air of the same temperature 
Why is real estate investing so expensive compared to businesses ?	real estate investing	businesses	expensive	' Objects:'real estate investing', 'business' Aspect: businesses Why is real estate investing so expensive compared to businesses?' Objects:'real estate investing',
Why are womens physical traits more desired than mens ?	womens physical traits	physical traits mens	desired	' Objects: 'womens physical traits','mens physical traits' Aspect: desired  Objects: 'womens physical traits','mens
Do humans experience anything similar to when animals go into heat ?	humans	animals	heat	'buying a Objects: 'humans', 'animals' Aspect: heat  Objects: 'humans', 'animals' Aspect: heat
Why does sparkling water taste differently than regular water ?	sparkling water	regular water	taste	' Objects:'sparkling water','regular water' Aspect: sparkling water Objects:'sparkling water','regular water' A
Why is weed smoke not as dark as forest fire smoke ?	weed smoke	forest fire smoke	dark	' Objects: 'weed smoke', 'forest fire smoke' Aspect: dark What are the objects and the aspect of comparison in the sentence 'Why is weed smoke not as dark as forest
Why dies steak cook faster than chicken ?	steak	chicken	cook faster	'buying a Objects:'steak', 'chicken' Aspect: steak cook faster than chicken What are the objects and the aspect of comparison in the sentence 'Why does a
What is the difference between photos and regular printing ?	photos	regular printing	-	' Objects: 'photos','regular printing' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between photos and regular printing 
Does where your driving on the road ( shoulder versus near the center lane ) increase the distance you travel ?	driving road shoulder	driving road the center lane	distance	' Objects: 'distance', 'travel' Aspect: distance Objects: 'distance', 'travel' Aspect: distance Objects: 
What is the actual difference between spicy food and hot food ?	spicy food	hot food	-	' Objects:'spicy food', 'hot food' Aspect: spicy food What are the objects and the aspect of comparison in the sentence 'What is the actual difference between spicy food and
Why do motorcycles have a gear ratio of less than 1:1 , whereas bicycles have a higher ratio ?	motorcycles	bicycles	gear ratio	' Objects: 'bikes', 'bikes' Aspect: bicycles What are the objects and the aspect of comparison in the sentence 'Why do bicycles have a higher gear ratio 
Is -10ºF twice as cold as -5ºF ?	-10ºF	-5ºF	cold	purchasing a Objects: '-10oF twice as cold as -5oF', '-5oF' Aspect: twice as cold What are the objects and the aspect of comparison in the sentence 
Is there any information on how many dog people vs cat people there are ?	dog people	cat people	how many	' Objects: 'dog people', 'cat people' Aspect: cat people vs dog people What are the objects and the aspect of comparison in the sentence 'Do you know if there
Why are Western nations seemingly helping Syrian immigrants much more than the nations close to it ?	Western	close to	helping	' Objects: 'western nations', 'western' Aspect: Western Objects: 'western nations', 'western' Aspect: Western Objects: 'western
Why are There More ISPs than Companies Providing TV ?	ISPs	Companies	-	sometimes Objects: 'ISPs', 'TV' Aspect: companies providing TV What are the objects and the aspect of comparison in the sentence 'Why are There More ISPs than Companies Providing
Is there any difference between a mile and a country mile ?	mile	country mile	-	as Objects:'mile', 'country mile' Aspect: difference What are the objects and the aspect of comparison in the sentence 'Is there any difference between a mile and a country mile
Why are black Americans usually much lighter in skin tone than those from Africa today ?	black Americans	those from Africa	skin tone	' Objects: 'black Americans', 'African Americans' Aspect: skin tone  Objects: 'black Americans', 'African Americans' Aspect: skin tone
Does going up stairs 2 at a time use a different amount of energy than going up 1 at a time ?	going up stairs 2 at a time	going up 1 at a time	energy	' Objects: '2 at a time', '2 at a time' Aspect: energy Objects: '2 at a time', '2 at a
What is the difference between domestic violence and assualt ?	domestic violence	assualt	-	' Objects: 'domestic violence', 'assualt' Aspect: Objects: 'domestic violence', 'assualt' A
Is the American South really more racist than the rest of the US or is it a stereotype ?	American South	rest of the US	racist	' Objects: 'is the American South really more racist than the rest of the US or is it a stereotype?', 'is it  Aspect: stereotypes Objects:
How true is it that it is easier to get faster in running in your teenage years compared to your 20s ?	running teenage years	running 20s	easier	' Objects: 'young', 'young' Aspect: faster  Objects: 'youth', 'running' Aspect: faster Objects: 
Is anal sex better than vaginal ?	anal sex	sex vaginal	better	' Objects: 'anal sex', 'vaginal' Aspect: better What are the objects and the aspect of comparison in the sentence 'Is anal sex better
Why is bench pressing my body weight significantly easier than doing pushups ?	bench pressing	pushups	easier	' Objects: 'bench pressing', 'pushups' Aspect: bench press vs. pushups What are the objects and the aspect of comparison in the sentence 'Why
Is the Terran Empire from mirror Star Trek worse than the Empire from Star Wars ?	Terran mirror Star Trek	Star Wars	-	'buying a Objects: 'is the Terran Empire from mirror Star Trek worse than the Empire from Star Wars?', 'is' Aspect: worse  Objects: 
What is the difference between a boyfriend T shirt and a men 's shirt . ( Besides price )	boyfriend T shirt	men 's shirt	-	' Objects: 'boyfriend T shirt','men' Aspect: price What are the objects and the aspect of comparison in the sentence 'What is the difference between a boyfriend T shirt and
"Does it make any difference between using the term "" Native American "" or "" Indian "" ? ... Is it racist to wonder that ?"	Native American	Indian	using	'Objects: 'Native American', 'Indian' Aspect: is it racist to wonder that?'Objects: 'Indian', 'Indian' Aspect:
Do blind people report higher rates of being victims of crime than those with sight ?	blind people	people with sight	rates of being victims of crime	' Objects: 'blind people', 'criminals' Aspect: crime  Objects: 'blind people', 'criminals' Aspect: crime Object
How is the Infrared in our remotes different from Infrared in the form of heat ?	remotes	form of heat	-	' Objects: 'infrared in the form of heat', 'heat' Aspect: heat What are the objects and the aspect of comparison in the sentence 'How is the Inf
Does doing 100 push-ups over the course of a day vs. all in one session end with the same result ?	100 push-ups the course of a day	100 push-ups in one session	result	' Objects: '100 push-ups', '100 push-ups' Aspect: same result What are the objects and the aspect of comparison in the sentence 'Does doing 100
"Is there really a difference between "" liquid "" and "" solid "" measuring cups for cooking / baking ?"	liquid measuring cups	solid measuring cups	cooking / baking	"' Objects: 'liquid','solid' Aspect: difference What are the objects and the aspect of comparison in the sentence 'Is there really a difference between "" liquid "" and "" solid"
What are the difference between how a laser printer and an ink printer function ?	laser printer	ink printer	function	a Objects: 'laser printer', 'ink printer' Aspect: function What are the objects and the aspect of comparison in the sentence 'What are the differences between a laser printer and
Is T-Mobile better than Verizon cost and service wise ?	T-Mobile	Verizon	cost and service	' Objects: 'T-Mobile', 'Verizon' Aspect: service wise What are the objects and the aspect of comparison in the sentence 'Is T-Mobile better than Verizon cost
Do deaf people appreciate / like silent cinema more than hearing people ?	deaf people silent cinema	silent cinema hearing people	appreciate / like	'buying a Objects: 'deaf people','silent cinema' Aspect: silent cinema More Objects:'silent cinema','s
Why is my couch more comfortable than my bed ?	couch	bed	comfortable	' Objects: 'couch', 'bed' Aspect: comfortable What are the objects and the aspect of comparison in the sentence 'Why is my couch more comfortable than my bed?'?
